id,text,consideration_id,author,created,updated,deleted_date
bfccc73a-166f-42ec-8b4b-cf051fa42428,"Designations in the 1970s don't seem to have been retained by all LPAs, and therefore we will consider this dataset within an overarching designated open space/green infrastructure dataset.",1f220f71-ecf0-4813-ad3b-f58cad6e7429,Claire Miller,2024-06-27 11:01:53.186021,,
7bdf288c-cb3a-4018-99a6-cf5984b67adc,"Although we have some [data for locally listed buildings on planning.data.gov.uk](https://www.planning.data.gov.uk/dataset/locally-listed-building), we need to take the locally list buildings or local heritage site consideration through our data design process to determine how we should handle it, who should provide data for it and what data is required for the dataset(s) to be valuable.",2bf32a02-7293-40b1-babc-722b37d5134f,Colm Britton,2024-05-21 06:29:30.874948,,
dc91972f-ef97-4af8-b3d3-b33e09114247,The Geospatial Commission has published [a list of 65 open datasets that they believe are used during the housing and planning process](https://www.gov.uk/government/publications/bringing-together-housing-land-and-planning-geospatial-datasets). This includes **Flood Storage areas**,cb165f53-e61a-48ce-801f-51a132a7957f,Colm Britton,2024-06-14 11:57:17.007516,,
4f915b5f-0fa3-4438-9361-affdd3cf0aa4,There is a separate Outdoor sports and leisure facilities dataset,c32ce6bc-6332-4b4f-b2d5-623146955f58,Paul Downey,2024-06-18 06:38:00.46648,2024-06-18 07:56:41.149182,2024-06-18
3f752bb0-bc23-4aac-b9e2-d7133353d8f9,"Linked to Religious grounds, part of the OS Green space dataset",246d5d2a-5008-4837-8bc4-d7150ebd50d9,Paul Downey,2024-06-18 08:34:07.337795,,
9c22b56c-5bfd-4f24-a5df-d9f5b95522a4,Test,871150fe-98ab-4a4a-8e8c-7e5979b88171,Colm Britton,2024-06-20 14:50:29.782264,2024-06-20 14:50:37.0553,2024-06-20
d54d920b-0de8-4f3e-8d22-cd70b05067d6,test,4256b884-12b4-4c51-a42f-176e3ad25688,Adam Shimali,2024-06-21 12:57:02.664245,2024-06-21 13:21:00.800423,2024-06-21
2bbabf49-1aa9-4c48-bc2d-920a9aaad007,test,871150fe-98ab-4a4a-8e8c-7e5979b88171,Claire Miller,2024-06-21 13:06:51.810319,2024-06-21 13:21:07.626985,2024-06-21
0e610804-effc-4107-b322-0fc829f485c2,"This dataset has now been retired and is superseded by a new dataset called: Reduction in Risk of Flooding from Rivers and Sea due to Defences. The Areas Benefiting from Defences dataset was assessed as no longer sufficiently meeting the needs of our customers and partners and was last updated on 02/11/2022.

Reduction in Risk of Flooding from Rivers and Sea due to Defences is no longer being updated.

We think that the presence of flood zones, along with existing and proposed flood defenses are sufficient in adressing the planning need of this consideration.",4256b884-12b4-4c51-a42f-176e3ad25688,Claire Miller,2024-06-21 13:21:44.72588,,
57834df9-acbc-4ca1-9c21-688e8166b0b3,test,edebb0c5-f465-4008-ad18-ededa22b54fe,Adam Shimali,2024-06-24 16:38:57.938196,2024-06-24 16:39:01.566028,2024-06-24
