Concern,Status,Stage,Also called,Trigger,Consultative,Fact sheet url,Our documentation doc,What does it support,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related planning considerations,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number,specification-url
Article 4 Directions,Piloting,On the platform,,,,,,Modern planning software,,✓,,,✓,,,,,,,,,,,,An Article 4 direction is made by the local planning authority to remove all or some of the permitted development rights on a site in order to protect it,,Town and Country Planning (General Permitted Development) (England) Order 2015 ,✓,,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Ad-hoc,,,,,,,Open planning software,9,30,https://digital-land.github.io/specification/specification/article-4-direction/
Assets of community value,Backlog,Screen,,,,https://docs.google.com/document/d/1oVoOh4kaLaSeOVXOwfrTpaCfO_Ev3UadR-tQzTe0iBQ/edit,,,Low,✓,,,✓,,,,,,,,,,,,Buildings or pieces of land that are used for the social wellbeing and interests of the local community,,The Assets of Community Value (England) Regulations 2012,✓,,,✓,✓,Yes,,Local planning authority,,,,,,,,,,,,,,
Authorised landfill sites,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,"Areas of land that are used to dump rubbish, either directly on the ground or filling in an unwanted hole",,,✓,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,,
Battlefields,On the platform,On the platform,,,,,,,,,,,✓,✓,,,,✓,,,,,,,Areas registered with Historic England as a battlefield of historical significance,,,✓,,,,,No,,Historic England,Historic England,Single,Small,,,Registered Battlefields,https://historicengland.org.uk/listing/the-list/data-downloads,https://historicengland.org.uk/content/data-downloads-gis/battlefields/,,,Development consent orders (NSIP);Environmental planning assessment,,,
Best and most versatile agricultural land,Backlog,Backlog,,,,,,,,,,,,✓,,,,✓,,,,,,,Land considered the most capable of growing crops for food and non-food uses,,Town and Country Planning (Development Management Procedure (England) Order) (DMPO) 2015,✓,,,,,,,DEFRA,,,,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
BGS geological indicators of flooding,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS geological map scans,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology 10k,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology 250k,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology 25k,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology 50k,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology 625k,Archived,Archived,Geology 625k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS Geology: superficial thickness,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS groundwater flooding,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Areas where groundwater flooding could occur or where groundwater may come close to the ground surface in England, Wales and Scotland",,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS infiltration Sustainable Drainage Systems (SuDS),Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,An initial indication of the suitability of the ground for infiltration SuDS,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS mineral resources,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,The geological distribution of all onshore mineral resources,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS mining hazards (not including coal),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,The potential for hazards due to underground (non-coal) mining,,,✓,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS permeability,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,‘Permeability’ refers to whether and how water can flow through a rock. This data is often used in studies of groundwater and in particular during investigations of pollution or aquifer contamination,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
BGS soil chemistry for environmental assessments,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Identification of potentially harmful elements (PHEs) that under certain circumstances can be harmful to plants, animals or people",,,✓,,✓,,,,,British Geological Survey,,,,,,,,,,,,,,
Biodiversity net gain,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Biodiversity net gain (BNG) is a strategy to develop land and contribute to the recovery of nature. It's a way of making sure the habitat for wildlife is in a better state than it was before development,,The Environment Act 2021,✓,,✓,✓,,,,,,,,,,,,,,,,,,
Biodiversity net gain assessments,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,A biodiversity net gain assessment compares baseline conditions to post-development plans. Biodiversity net gain is achieved if the post-development plans provide a net improvement to the biodiversity of a site,,The Environment Act 2021,✓,,✓,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Biosphere reserves,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas where local people model how we can live with nature and use its resources sustainably. They are designated by UNESCO (United Nations Educational Scientific and Cultural Organisation),,,✓,,,,,,UNESCO,UNESCO,,,,,,,,,,,,,,
BLDGS (Buildings),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Tall buildings over 50m,,,✓,,,,,,,,,,,,,,,,,,,,,
Borehole scans,Archived,Archived,Wellmaster hydrogeological database index,,,,,,,,,,,,,,,,,,,,,,"Scanned images of the records of all onshore Great Britain (or near shore) boreholes, trial pits, shafts and wells",,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Bowling greens,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,"Areas of very smooth, short grass on which the game of bowls or lawn bowling is played",,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,,
Britpits mines & quarries,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"BritPits (an abbreviation of British Pits), include both surface and underground mineral workings, such as mines, quarries, oil wells, gas wells, ash and desulphogypsum plants.",,,✓,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Broadband speed,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Coverage of broadband availability,,The Electronic Communications (Universal Service) (Broadband) Order 2018,✓,,✓,,,,,,,,,,,,,,,,,,,
Brownfield land,On the platform,On the platform,,,,,,Modern planning software,,,,,✓,✓,,,,,,,,,,✓,Previously developed land that's no longer being used,Development Management,https://www.legislation.gov.uk/uksi/2017/403/contents/made,✓,✓,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Annually,Planning applications & decisions;Site allocations,,,,,,Development consent orders (NSIP),12,28,https://digital-land.github.io/specification/specification/brownfield-land/
Building preservation notices,On the platform,On the platform,,,,,,,,,,,✓,,,,,,,,,,,,A notice to stop un-listed buildings of special architectural or historic interest from being demolished or altered in a way that affacts the character of the building,,,✓,,,✓,,,,Historic England,Historic England,Single,Small,,,,,,,,Local plans,,,
Built up areas,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,"Land which is characteristic of a village, town or city",,,✓,,,,,,,,,,,,,,https://data.gov.uk/dataset/15e3be7f-66ed-416c-b0f2-241e87668642/built-up-areas-december-2011-boundaries-v2,,,,,,,
Canals,Backlog,Backlog,Watercourses,,,,,,,,,,,,,,,,,,,,,,Human-made waterways that allow boats and ships to pass from one body of water to another ,,,✓,,,,,,,Canal and Riover Trust,,,,,,,,,,,,,,
CASI and LiDAR habitat,Backlog,Backlog,LiDAR habitat,,,,,,,,,,,✓,,,,,,,,,,✓,"A habitat map derived from airborne data, specifically CASI and LIDAR data. The habitat map is a polygon shapefile showing site relevant habitat classes, for sites where data is available.",,,✓,,,,,,,Environment Agency,,,,,,,https://ckan.publishing.service.gov.uk/dataset/casi-and-lidar-habitat-map,,,,Development consent orders (NSIP),,,
CASI multispectral imagery,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environment Agency,,,,,,,,,,,,,,
Cemetery,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,A cemetery provided and maintained by a burial authority,,,✓,,,,,,,Local Authorities,,,,,,,,,,,Environmental planning assessment,,,
Central activty zones,On the platform,On the platform,,,,,,,,✓,,,,,,,,,,,,,,,Central areas of London with implications for planning designated by the Greater London Authority (GLA),,,✓,,,,,,,Greater London Authority,Greater London Authority;Local planning authorities,Multiple,Small,,,,,,,,Open planning software,,,
Central government buildings,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Buildings that the UK central government owns or occupies,,,✓,,,,,,,,,,,,,,,https://www.data.gov.uk/dataset/c186e17f-654d-4134-aed7-b3f13469546a/central-government-welsh-ministers-and-local-government-including-property-and-land,,,Development consent orders (NSIP),,,
Certificate of immunity,On the platform,On the platform,,,,,,,,,,,✓,,,,,,,,,,,,A guarantee that a building or buildings will not be newly listed or given a building preservation notice for the next 5 years,,The Planning (Listed Buildings and Conservation Areas) Act 1990,✓,✓,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Local plans,,,
Clinics,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Buildings which people can go to for medical care or advice,,,✓,,,,,,,NHS,,,,,,,,,,,,,,
Coal Authority managed tips,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Disused colliery tip sites owned and managed by the Coal Authority ,,,✓,,,,,,,Coal Authority,,,,,,,,,,,,,,
Coal Authority Mine water treatment schemes,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Locations where mine water is treated to improve water quality in polluted rivers,,,✓,,,,,,,Coal Authority,,,,,,,,,,,,,,
Coal Authority Risk Area,Backlog,Backlog,Development risk and coal resource areas,✓,,,,,,,,,,,,,,,,,,,,,Areas which contain recorded features which could cause risk from the legacy of coal mining operations,,,✓,,,,,,,Coal Authority,,,,,,,,,,,,,,
Coalfield,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,A coal mining area that could contain unrecorded hazards,,,✓,,,,,,Coal Authority,Coal Authority,,,,,,,,,,,Local plans,,,
Coalfield consultation area,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas where the Coal Authority recommends a mining search report is required for property conveyancing or development,,,✓,,,,,,,Coal Authority,,,,,,,,,,,,,,
Coastal change management areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas identified as likely to be affected by physical change to the shoreline through erosion,,The NPPF and PPG on Flood Risk and Coastal Change,✓,,,,,,,Natural England,,,,,,,,,,,Local plans,,,
Coastal storm surge flood risk areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,A storm surge is a change in sea level that is caused by a storm. They can lead to extensive flooding and are dangerous for people living in many coastal areas.,,,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
Coastal topographic surveys,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Surveys covering beaches, dunes, cliffs, saltmarshes and coastal defence structures",,,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
COMAH – major hazard sites,Backlog,Archived,Control of major accident and hazard sites,,,,,,,,,,✓,,,,,,,,,,,,Sites storing or handling large quantities of chemicals or hazardous substances that are covered by the Control of Major Accident Hazards (COMAH) Regulations ,,,✓,,,,,,,Health and Safety Executive,,Multiple,Small,,,,,,,,Local plans,,,
Common land and village greens,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Areas of open space that have been used for recreation by the inhabitants of the town, village or parish for generations  ",,Commons Act 2006,✓,,,,,,,Natural England,Local Planning Authorities,,,,,,,,,,,,,
Community halls,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Community halls are available to the public for community-related recreational activities.,,,✓,,,,,,,"Local Planning Authorities, Neighbourhood/Town/Parish Councils",,,,,,,,,,,,,,
Community infrastructure levy (CIL) charging zones,Backlog,Backlog,,✓,✓,,,,,,,,,,,,,,,,,,,,The Community Infrastructure Levy (CIL) is a charge which can be levied by local authorities on new development. It only applies in areas where a local authority has consulted on and approved a charging schedule which sets out those charges,,The Community Infrastructure Levy Regulations 2010,✓,,✓,✓,,Yes,Local Planning Authorities,"Local Planning Authorities, Neighbourhood Forums in the case of Neighbourhood CIL","Local Planning Authorities, Neighbourhood Forums in the case of Neighbourhood CIL",Multiple,Large,Ad hoc,,,,,,,,,,
Completion notices,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Documents that set a date when work on a new building or conversion should be complete,,Local Government Act 2003,✓,,,✓,,Yes,Local Planning Authorities,Local planning authorities,,,,,,,,,,,,,,
Compulsory purchase orders,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Orders that allow a public authority to acquire land without the consent of the owner,,Compulsory Purchase Act 1965,✓,,✓,✓,,Yes,,Local planning authorities,,Multiple,Large,Ad hoc,,,,,,,,,,
Conservation areas,Piloting,On the platform,,✓,,,,Modern planning software,,✓,,,✓,✓,,,,✓,,,,,,,An area of special architectural or historic interest with a character or appearance that must be preserved or enhanced ,,,✓,,,✓,,Yes,,Local planning authorities,Local planning authorities; Historic England; Digital Land,Multiple,Large,,Local land charge,,,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,8,33,https://digital-land.github.io/specification/specification/conservation-area/
Contaminated land,On the platform,Backlog,Special Sites,,,,,,,,,,,,,,,,,,,,,,"Land where substances are causing or could cause:

- significant harm to people, property or protected species
- significant pollution of surface waters (for example lakes and rivers) or groundwater
- harm to people as a result of radioactivity",,Part 2A of the Environmental Protection Act 1990 / The Contaminated Land (England) Regulations 2006,✓,,,,,,,Environment Agency / Local Planning Authority,,,,,,,,,,,,,,
Contravention of building notices,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Notices requiring work that does not comply with building regulations to be pulled down or removed, or for additional work to be carried out to make it comply",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Control of major accident and hazard sites,Backlog,Backlog,COMAH,,,,,,,,,,,,,,,,,,,,,,Sites storing or handling large quantities of chemicals or hazardous substances that are covered by the Control of Major Accident Hazards (COMAH) Regulations ,,Control Of Major Accident Hazards Regulations 2015 (COMAH),✓,,,✓,,,,Health and Safety Executive (HSE),,,,,,,,,,,,,,
Council wards,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,Local areas that have been divided for voting purposes,,,✓,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/boundary-line,,,,,,,
Country parks,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,✓,Areas of countryside set aside for public recreation,,,✓,,,,,,,DEFRA,,,,,,,https://data.gov.uk/dataset/e729abb9-aa6c-42c5-baec-b6673e2b3a62/country-parks-england,,,,Environmental planning assessment,,,
Countryside stewardship scheme agreements,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Previous agreements that provided financial incentives for farmers, foresters and land managers to look after and improve their environments",,The Countryside Stewardship (England) (Amendment) Regulations 2023,✓,,,✓,,,,DEFRA,,,,,,,,,,,,,,
County Council,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Local government tier, often having the role of minerals and waste planning authority, highways authority and statutory consultee.",,,✓,,,,,,,,,,,,,,,,,,,,,
Cropland,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Areas of land used for growing crops,,,✓,,,,,,,,,,,,,,,,,,,,,
Crossrail route,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,,,,,,,,Crossrail,,,,,,,,,,,,,,
Crossrail stations,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Stations on the train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,,,,,,,,Crossrail,,,,,,,,,,,,,,
Design codes,On the platform,Co-design,Design Guides,,,,,LURA;Modern planning software;Faster local plans,,,,,,,,,,,,,,,,,Geographical areas covered by a design code,,Levelling Up and Regeneration Act (2023),✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,Local planning authorities;Office for place,3,27,https://digital-land.github.io/specification/specification/design-code/
Designated neighbourhood forums,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Organisations or groups empowered to lead the neighbourhood planning process in a neighbourhood area where there is no town or parish council,,"The Neighbourhood Planning (General) Regulations 2012, The Localism Act 2011",✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Designated open space,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Land laid out as a public garden or used for the purposes of public recreation,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Developer contributions,On the platform,On the platform,,,,,,,,,,,,,,✓,,,,,,,,,Financial or physical contributions from developers towards the cost of providing appropriate infrastructure and services to support their development,Infrastucture Funding,The Town and Country Planning Act 1990 ,✓,✓,,✓,✓,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Annually,Planning applications & decisions,,,,,,,16,34,https://digital-land.github.io/specification/specification/developer-contributions/
Development consent order boundary,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,,"The boundary of the nationally significant infrastructure project (NSIP), which has been granted planning consent through the development consent order (DCO) process.",,,,,,,,,,,,,,,,,,,,,,,,
Development corporation,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Statutory bodies set up to regenerate a designated area - once designated, they become the planning authority",,"The Localism Act 2011, The Cities and Local Government Devolution Act 2016 ",✓,,,,,,,,,,,,,,,,,,,,,
Development plans and timetables,In development,Test and iterate,,,,,,Faster local plans,,,,,✓,,,,,,,,,,,,The status of emerging local plans for local planning authorities,Local Plans,,✓,,,✓,✓,Yes,,Local planning authorities;Planning inspectorate,,,,,,,,,,,New local plan policy team,2,26,https://digital-land.github.io/specification/specification/development-plan/
Doorstep greens,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,New or renovated areas of public open space close to people’s homes that can be enjoyed permanently by the local community,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Drainage agreements and consents,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Agreements in place to drain buildings in combination into an existing sewer through a private sewer, or consent for a building, or building extension to be built over or near a drain, sewer or disposal main",,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Dune slack likely locations,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Likely locations and boundaries of dune slacks (a depression in the coastal dune system) for sites around England,,,,,,,,,,Environment Agency,,,,,,,https://ckan.publishing.service.gov.uk/dataset/dune-slack-likely-locations,,,,,,,
Early years provision,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Education and childcare provision for children under 5 through nurseries, private, voluntary and independent (PVI) providers, including childminders",,"Childcare Act 2016, Childcare Act 2006.",✓,,,,,,,County Council,,,,,,,,,,,,,,
Employment allocations,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Sites that have been identified for employment use,,,✓,,✓,✓,,,,,,,,,,,,,,,,,,
Energy and renewable statistics,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓,,✓,,,,,BEIS,,,,,,,,,,,Environmental planning assessment,,,
Energy performance certificates,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,"Certificates that contain:

- information about a property’s energy use and typical energy costs
- recommendations about how to reduce energy use and save money
- an energy efficiency rating from A (most efficient) to G (least efficient), valid for 10 years",,"The Energy Performance of Buildings (England and Wales) Regulations 2012
",✓,,✓,,,,,,,,,,,,,,,,Development consent orders (NSIP),,,
Enterprise zone,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Areas where commercial and industrial businesses can get incentives to set up or expand,,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Environmental & pollution notice,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Notice issuing penalties for environmental crimes,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Environmental outcome reports,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,"A system of assessing environmental impacts from development, plans, projects and policies",,,✓,,,,,,,,,,,,,,,,,,,,,
Environmental pollution incidents,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Events that may cause harm or potential harm to an environmental aspect (air, water, land, wildlife or local habitat)",,Environmental Protection Act 1990,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
Environmentally sensitive areas,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,"Agricultural areas which need special protection because of its landscape, wildlife or historical value. ",,Section 18 of the 1986 Agriculture Act,✓,,,,,,,Natural England,,,,,,,https://data.gov.uk/dataset/a5b0ccc4-a144-4027-91fa-49084ff07da2/environmentally-sensitive-areas-england,,,,Development consent orders (NSIP),,,
