name,description,synonyms,github-discussion-number,stage,public,expected-number-of-records,frequency-of-updates,prioritised,datasets,specification,useful-links,legislation,slug,blocked-reason,os-declaration,tags
Waste and recycling statistics,Information on waste generation and management,,272,Backlog,True,,,False,,,,,waste-and-recycling-statistics,,,amenity;statistics
Brownfield land,Previously developed land that's no longer being used,,28,On the platform,True,,Annually,False,https://github.com/digital-land/specification/blob/main/content/dataset/brownfield-land.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/brownfield-site.md?plain=1,https://digital-land.github.io/specification/specification/brownfield-land/,"[{'link_url': 'https://www.gov.uk/guidance/brownfield-land-registers', 'link_text': 'Brownfield land registers guidance'}, {'link_url': 'https://www.gov.uk/government/publications/brownfield-land-registers-data-standard', 'link_text': 'Brownfield land registers data standard'}]",https://www.legislation.gov.uk/uksi/2017/403/contents/made,brownfield-land,,,local plan;opportunity
Advertisments,Areas where hoardings or similar are used for advertising,,,Archived,True,,,False,,,,,advertisments,,,
Parish,The smallest type of local government administrative area in England,,38,On the platform,True,,Annually,False,https://github.com/digital-land/specification/blob/main/content/dataset/parish.md?plain=1,,,,parish,,,boundary;local plan
Abandoned mines,Areas where mining has previously taken place but is no longer in use,,105,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/1998/892/contents/made,abandoned-mines,,,constraint;development risk
Developer contributions,Financial or physical contributions from developers towards the cost of providing appropriate infrastructure and services to support their development,,34,On the platform,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/contribution-funding-status.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/contribution-purpose.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-contribution.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-transaction.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement.md?plain=1,https://digital-land.github.io/specification/specification/developer-contributions/,,https://www.legislation.gov.uk/ukpga/1990/8/contents,developer-contributions,,,levy;local plan
5 year housing land supply (5yhls),Data about sites where they are expected to come forward to build-out within the next five years,,102,Research,True,,,False,,,,,5-year-housing-land-supply,,,housing supply and delivery;local plan
Local wildlife sites,Areas of land that are especially important for their local wildlife,Protected sites,208,Backlog,True,,,False,,,,,local-wildlife-sites,,,constraint;environmental;local plan
Air quality index,"Tool to show pollution levels in a particular site or region, through determining the concentration of Nitrogen Dioxide, Sulphur Dioxide, Ozone, Particles < 2.5µm (PM2.5), Particles < 10µm (PM10)",,107,Backlog,True,,,False,,,,,air-quality-index,,,environmental;local information
Cultural infrastructure,"Places, spaces, and buildings where cultural activities take place.",,145,Backlog,True,,,False,,,,,cultural-infrastructure,,,amenity;culture;heritage;infrastructure
Water quality,"The condition of water, including chemical, physical, and biological characteristics",,273,Backlog,True,,,False,,,,,water-quality,,,controlled waters;environmental
Water stressed areas,Areas where the demand for water exceeds the available amount,,274,Backlog,True,,,False,,,,,water-stressed-areas,,,boundary;controlled waters;defra - complied
Wildbelt designations,Land currently of low biodiversity value that is designated for nature's recovery,,275,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/wildbelt.md?plain=1,,,,wildbelt-designations,,,bng;constraint;environmental;local plan
BGS mineral resources,The geological distribution of all onshore mineral resources,,,Archived,True,,,False,,,,,bgs-mineral-resources,,,
Long established & protected woodland,Areas that have been wooded continuously from 1893,,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/long-established-woodland.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/long-protected-woodland.md?plain=1,,,,long-established-protected-woodland,,,
Site allocations,"Areas identified as sites for housing, employment, retail or green space to be developed in the future",,42,Co-design,True,,Ad hoc,True,,,,,site-allocations,Has been deprioritised for now.,,housing supply and delivery;local plan;opportunity;policies map
Development plans and timetables,The status of emerging and current local plans and other development plans for local planning authorities,Local plans;Development plan documents;Local development scheme,26,Test and iterate,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-document-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-document.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-event.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-geography-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-geography.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-status.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-timetable.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-type.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/development-plan.md?plain=1,https://digital-land.github.io/specification/specification/development-plan/,"[{'link_url': 'https://www.gov.uk/guidance/plan-making', 'link_text': 'Plan-making guidance'}, {'link_url': 'https://app.mural.co/t/mhclg2837/m/mhclg2837/1718210633604/0ef44d48a82d8a72f5b1a4e81d9a46fcfe4ec880?wid=0-1718212491587', 'link_text': 'Concept map (mural)'}, {'link_url': 'https://digital-land.github.io/local-plans-timetable/', 'link_text': 'Create Local Plan Timetable (Prototype)'}]",https://design.planning.data.gov.uk/planning-consideration/development-plans-and-timetables/screen/#is-there-legislation,development-plans-and-timetables,,,local plan
Internal drainage district,Areas that derive benefit or avoid danger as a result of drainage operations,,188,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/internal-drainage-board.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/internal-drainage-district.md?plain=1,,,,internal-drainage-district,,,boundary;environmental
BGS infiltration Sustainable Drainage Systems (SuDS),An initial indication of the suitability of the ground for infiltration SuDS,,,Archived,True,,,False,,,,,bgs-infiltration-sustainable-drainage-systems,,,local plan
Invasive non native species,Species which have been introduced into areas outside their natural range through human actions and are posing a threat to native wildlife,,189,Backlog,True,,,False,,,,,invasive-non-native-species,,,development risk;environmental
Lakes,Large areas of fresh water surrounded by land,Watercourses,191,Backlog,True,,,False,,,,,lakes,,,amenity;controlled waters;landscape
Community halls,Community halls are available to the public for community-related recreational activities.,,134,Backlog,True,,,False,,,,,community-halls,,,amenity;community;local plan
County council,"Local government tier, often having the role of minerals and waste planning authority, highways authority and statutory consultee.",,142,Backlog,True,,,False,,,,,county-council,,,boundary
